1stEntity	2ndEntity	Relation	Sentence	False_Positive(x)_Checked_by_3_Annotators
germany	berlin	/location/country/capital	in a unique gesture of reconciliation , which he consciously undertook , heinz berggruen returned to berlin art that had been despised and driven out by hitler 's germany just as he was , '' mr. schuster said .	
louisiana	grambling	/location/location/contains	he had built a house in northwestern louisiana , near grambling , where he went to college .	
connecticut	greenwich	/location/location/contains	a woman of great style and taste , marcia was a world traveler living in tokyo and london before settling with her family in greenwich , connecticut in 1991 .	
havana	cuba	/location/administrative_division/country	claudia is one of about 1,500 jews who live in cuba ; 1,100 reside in havana , and the remaining 400 are spread among the provinces .	
filippo_magnini	italy	/people/person/nationality	by the time they had made the turn and thrashed back to where they started , filippo_magnini of italy had defended his world title and brent hayden of canada had won his first .	
chicago	feinberg_school_of_medicine	/location/location/contains	doctors are storytellers , '' said kathryn montgomery , a professor of literature who directs the medical humanities and bioethics program at northwestern university 's feinberg_school_of_medicine in chicago . ''	
ehud_olmert	israel	/people/person/nationality	while the arab league did reaffirm a 2002 land-for-peace proposal for settling the israeli-palestinian conflict at its meeting in riyadh on thursday , many arab officials have expressed anger that prime minister ehud_olmert of israel balked at allowing new peace talks with mr. abbas .	
middle_east	iran	/location/location/contains	with iran poised to gain from possibly two civil wars in the middle_east -- one in iraq and a potential one in lebanon -- saudi arabia in recent months has abandoned its behind-the-scenes checkbook diplomacy to take a central , more aggressive role in tempering the region 's conflicts .	
russian	ukraine	/people/ethnicity/geographic_distribution	it is the second stoppage of russian energy supplies to european countries since last winter , when natural gas shipments were shut down briefly during a gas pricing dispute between russia and ukraine .	x
israel	west_bank	/location/location/contains	that is why jordan , with its long relationship with the palestinians , its former rule over the west_bank , its peace treaty with israel and strong alliances with the united states , egypt , saudi arabia and the persian gulf countries , is seen by some as a kind of answer .	x
kansas	hays	/location/location/contains	mr. anschutz attended grade school in hays , a town in western kansas , before moving to high school in wichita .	
jacques_chirac	france	/people/person/nationality	vichy did go on trial with him , and the verdict seemed to confirm , as president jacques_chirac had first acknowledged in 1995 , that france bore criminal responsibility for what officials like mr. papon had done in collaborating with the germans .	
middle_east	israel	/location/location/contains	the united states and israel said he was not being evenhanded in the middle_east .	x
thailand	bangkok	/location/location/contains	the general who led the coup in thailand last september on wednesday asked his appointed prime minister to impose a state of emergency in bangkok as public opposition to the government grew louder .	
maryland	annapolis	/location/us_state/capital	maryland seafood festivals a directory of spring and summer seafood festivals in maryland is available at marylandseafood.org or by sending a stamped , self-addressed envelope to 2007 seafood festival list , maryland department of agriculture , seafood marketing program , 50 harry s. truman parkway , annapolis , md. 21401 .	x
boston	massachusetts_general_hospital	/location/location/contains	in lieu of flowers , remembrances may be made to the melvin b. & barbara k. nessel fund , massachusetts_general_hospital , 165 cambridge street , suite 600 , boston , ma 02114 , or a charity of one 's choice .	
mike_hampton	atlanta	/people/person/place_lived	-lrb- ap -rrb- hampton takes step back -- mike_hampton , a left-hander attempting to win a spot in atlanta 's rotation after having reconstructive elbow surgery , injured his left side during batting practice and could miss the first two months of the season .	x
israel	west_bank	/location/location/contains	over the past year , more attempted attacks against israel have originated in nablus than in any other west_bank city , the general said .	
jaime_lerner	curitiba	/people/person/place_lived	jaime_lerner , the archangel of the curitiba green movement , was anointed by the dragons of war .	
israel	jerusalem	/location/location/contains	secretary of state condoleezza rice arrives in egypt on saturday after mr. ban departs for israel , and the two will meet in jerusalem on sunday .	
amália_rodrigues	portugal	/people/person/nationality	fado , particularly in the style of portugal 's most influential singer , amália_rodrigues , frames its volatile singing , with gypsy and arabic underpinnings , within elegant baroque-tinged accompaniments .	
luciano_berio	italy	/people/person/nationality	he also won a fulbright fellowship for study in italy , where he worked with luciano_berio , luigi dallapiccola and franco donatoni .	
canada	senate	/location/location/contains	the senate voted on monday to preserve current restrictions on the importing of lower-cost prescription drugs from canada and other countries , fearing that such imports could pose risks to consumers , even with new safeguards .	x
donald_e._graham	washington_post_company	/business/person/company	yesterday , mr. sulzberger received support when donald_e._graham , the chairman and chief executive of the washington_post_company , urged investors to support the times company .	
hunterdon_county	lambertville	/location/location/contains	the trail will run between lambertville on the delaware river in hunterdon_county and belle mead in somerset county , and go through mercer county . ''	
spain	madrid	/location/country/capital	part modern social history , part travelogue , '' ghosts of spain '' is held together by elegant first-person prose that allows readers an occasional glimpse of tremlett 's personal life in madrid amid the more general accounts of family life -lrb- children are coddled and fussed over and considered almost '' public property '' -rrb- , the medical system -lrb- respect for the white coat , he writes , is still absolute -rrb- , nocturnal entertainment -lrb- spaniards are said to be the most enthusiastic brothel-goers -- and cocaine users -- in europe -rrb- , and so on .	x
chez_panisse	alice_waters	/business/company/founders	the benign figure looming over this new food consciousness is alice_waters , the creator of chez_panisse in berkeley , calif. , and the subject of thomas mcnamee 's illuminating '' alice_waters and chez_panisse . ''	
florida	st._lucie	/location/location/contains	... lastings milledge , who has been sidelined with a sprained ligament in his foot , has begun working out in florida and will soon start a rehabilitation assignment with port st._lucie , mets general manager omar minaya said yesterday . ''	x
anne_d'harnoncourt	philadelphia_museum_of_art	/business/person/company	other members are representative xavier becerra , democrat of california ; l. hardwick caldwell , chairman of the institution 's national board ; anne_d'harnoncourt , a regent and director of the philadelphia_museum_of_art ; senator patrick j. leahy , democrat of vermont ; walter e. massey , president of morehouse college in atlanta ; jeffrey minear , administrative assistant to chief justice john g. roberts jr. ; and roger w. sant , a regent and chairman emeritus of the board .	
florida	palm_beach	/location/location/contains	in lieu of flowers , donations may be given in lorraines memory to the rehabilitation center for children and adults , 300 royal palm way , palm_beach , florida 33480 .	
dorchester	boston	/location/neighborhood/neighborhood_of	and maria alves , 39 , a dental assistant from the dorchester area of boston , who has two children , ages 9 and 14 , and a husband on disability . ''	
mali	guinea	/location/administrative_division/country	for decades , ivory coast 's booming agricultural economy had relied on immigrants from neighboring burkina faso , mali and guinea to plant and reap its rich cocoa and coffee crops ; the country 's longtime president , félix houphouët - boigny , had made it his country 's policy to defuse ethnic tensions for the sake of prosperity .	x
syria	damascus	/location/location/contains	mr. meshal lives in exile in damascus , syria , where the government has rebuffed all western requests to close his office . ''	
ehud_olmert	israel	/people/person/nationality	mr. meridor , like many in israel , including prime minister ehud_olmert , has traveled a long road since 1967 to accept a palestinian state on a large part of biblical israel .	
syria	damascus	/location/country/administrative_divisions	among them was noor 's father , a shiite who has since fled baghdad with the couple 's 4-year-old son for the relative safety of damascus , syria .	
jacques_chirac	france	/people/person/nationality	unveiling his foreign policy on wednesday , mr. sarkozy , who is the interior minister and head of the governing party , the union for a popular movement , called the american-led invasion of iraq a '' historic mistake '' and thanked president jacques_chirac for his '' lucidity '' in keeping france out of it .	
israel	west_bank	/location/location/contains	one administration official suggested wednesday that the united states might then try to prod israel into taking down israeli settlements in the west_bank as a way to shore up mr. abbas and demonstrate to the palestinian population that the diplomatic route favored by mr. abbas can bear more fruit than the hamas way of open resistance to israel .	
barbara_kingsolver	tucson	/people/person/place_lived	a few years ago , the novelist barbara_kingsolver packed her husband and two daughters into a car and left their home in tucson for good , resettling on a farm in southern appalachia .	
mads_mikkelsen	denmark	/people/person/nationality	the plot involves an aid worker , jacob , played by the eloquently unhappy-looking mads_mikkelsen , who reluctantly returns to his native denmark from mumbai , where he helps run an orphanage .	
warren_buffett	berkshire_hathaway	/business/person/company	11 p.m. (13) charlie rose -- mr. rose talks with warren_buffett , chief executive of berkshire_hathaway .	
chad_hurley	youtube	/business/person/company	in january , youtube 's co-founder , chad_hurley , said the company would in the coming months begin sharing advertising revenue with contributors .	
syria	damascus	/location/country/capital	pelosi is in damascus not because she loves this dear city , but because she is aware that it is impossible to ignore syria 's role , '' an editorial in the daily al thawrah said . ''	x
christopher_j._christie	newark	/people/person/place_of_birth	the company said that it has been informed by the united states attorney in newark , christopher_j._christie , that a review found no violation of securities laws or breach of an earlier consent order the company had signed with the securities and exchange commission .	x
damascus	syria	/location/administrative_division/country	international a3-11 poverty stricken iraqis turn to selling sex in syria for anyone living in damascus , the fact that some iraqi refugees are selling sex or working in sex clubs is difficult to ignore .	
luton	london_luton_airport	/location/location/contains	easyhotel , a budget hotel chain , is scheduled to open a property in luton , england -- about three miles from the london_luton_airport -- by the end of the year .	
rockland_county	airmont	/location/location/contains	they 're allowing overdevelopment , and they do n't have the infrastructure to support it , '' said dennis schubert , a member of the upper saddle river borough council , which recently authorized the filing of a suit in federal court against the village of airmont in rockland_county and rockland sewer district no. 1 . ''	
turkey	ankara	/location/country/capital	mr. avsar , who was born in turkey , was planning to move back to ankara , where he had a teaching position .	x
ian_paisley	northern_ireland	/people/person/nationality	with the end of the northern_ireland conflict and the power-sharing agreement of the rev. ian_paisley of the democratic unionist party and martin mcguinness of sinn fein , this area of county meath has rapidly become the most disputed terrain in the country .	
france	paris	/location/location/contains	mr. marks graduated from the pennsylvania academy of fine arts , and lived most of his life in paris , france , where he exhibited his paintings frequently .	
peyton_manning	louisiana	/people/person/place_lived	on a rainy friday night in november 1991 , in a small farming town on the eastern edge of louisiana , peyton_manning had his first brush with the big one .	
mitch_mcconnell	kentucky	/people/person/place_lived	we want a debate about iraq that includes funding for the troops , '' said senator mitch_mcconnell of kentucky , the republican leader . ''	
russian	russia	/people/ethnicity/geographic_distribution	the boeing company announced on saturday a $ 3.5 billion sale of airplanes to aeroflot , the russian national airline , in a deal that defied the souring political relations between the united states and russia .	x
cuba	havana	/location/location/contains	boquete -lrb- pronounced bo-kett-eh -rrb- boarded a shrimp boat in the port of mariel , cuba , in 1980 , when he was 25 , leaving behind one son , two marriages , a career as a diesel mechanic in havana and a jail record as a cuban army deserter -- this last credential essential , he believed , to helping him clear bureaucratic hurdles for departing cuba .	
general_electric	jeffrey_r._immelt	/business/company/major_shareholders	jeffrey_r._immelt , general_electric 's chairman and chief executive , said recently that he did not think that chief executives should have contracts .	
santiago_rodríguez	dominican_republic	/location/administrative_division/country	mr. fernandez , 39 , was born in santiago_rodríguez , the dominican_republic .	
middle_east	syria	/location/location/contains	eric ettlinger berkeley , calif. , jan. 24 , 2007 to the editor : in his state of the union address , president bush once again tried to have the american people and the world believe that the maelstrom in iraq and the middle_east is due entirely to a litany of acts of evil terrorists and the external influences of foreign powers , especially iran and syria .	
josé_luis_rodríguez_zapatero	spain	/people/person/nationality	prime minister josé_luis_rodríguez_zapatero of spain , a fellow socialist , and prime minister romano prodi of italy have endorsed her for president .	
kathryn_johnston	atlanta	/people/person/place_of_birth	in court documents , prosecutors said atlanta police officers regularly lied to obtain search warrants and fabricated documentation of drug purchases , as they had when they raided the home of the woman , kathryn_johnston , in november , killing her in a hail of bullets .	x
chuck_hagel	nebraska	/people/person/place_lived	republicans were stung by the defection of senator chuck_hagel of nebraska , who has not supported a timetable for withdrawal before although he is his party 's most outspoken critic of the war in congress . ''	
barnett_rubin	new_york_university	/business/person/company	the overall iranian role has been to work closely with us to bring karzai into power , '' said barnett_rubin , an expert on afghanistan at new_york_university . ''	
israel	west_bank	/location/location/contains	israeli officials suggested that israel would work with mr. abbas and a fatah government in the west_bank , and could gradually hand over to it the remaining palestinian tax moneys , about $ 562 million , withheld since hamas took power a year ago in march . ''	
germany	thuringia	/location/location/contains	eastern germany 's three southernmost states -- saxony , thuringia and saxony-anhalt -- are growing faster than germany as a whole , while the northern states in the east are languishing .	
florida	lake_worth	/location/location/contains	of lake_worth , florida , formerly of east rockaway .	
india	delhi	/location/location/contains	shonali bose 's film was censored in india for daring to refer to the riots in delhi that followed the assassination of indira gandhi in 1984 .	
canada	toronto	/location/country/administrative_divisions	toronto , an expansion team , played the first m.l.s. game in canada last saturday , drawing a capacity crowd of 20,148 to its new $ 56.6 million bmo field .	x
connecticut	hamden	/location/location/contains	findling -- katharine -lrb- kitty -rrb- , lustman , 87 , of hamden , connecticut .	
john_portman	atlanta	/people/person/place_lived	these days , mr. smith has assignments across the country , including redesigning the bars and restaurants at the hyatt regency in atlanta , the original john_portman hotel .	x
ehud_olmert	israel	/people/person/nationality	it 's destroyed the reputation of tony blair 's government in britain , ehud_olmert 's government in israel and nuri al-maliki 's government in iraq .	
florida	everglades	/location/location/contains	not quite the brackish swamp that many imagine it to be , the everglades -lrb- first named pa-hay-okee , for '' grassy water , '' by the calusa indians -rrb- is actually a wide , shallow river flowing through florida 's 80 southernmost miles of mainland and in many places blending into the shores of the atlantic or the gulf of mexico .	
joanne_woodward	westport	/people/person/place_lived	the theater has never been so popular , said the actress joanne_woodward , a westport resident who organized the restoration effort . ''	
jerome_robbins	new_york_city_ballet	/business/person/company	if only the same could be said for new_york_city_ballet 's latest compilation program , '' three by bach , '' an evening of dances by george balanchine , christopher d'amboise and jerome_robbins , whose portion was a revival of his sparkling 1997 '' brandenburg . ''	
ukraine	kiev	/location/location/contains	directed by andrei zagdansky not rated ; 72 minutes in the documentary '' orange winter '' orange blooms throughout kiev , ukraine , the epicenter of dissent over that country 's stolen 2004 presidential elections .	
lebanon	beirut	/location/country/capital	bombs kill 3 in lebanon on day before memorial a day before lebanon was set to mark the second anniversary of the assassination of its former prime minister , rafik hariri , three people were killed and about 23 others wounded when two minibuses were bombed as they took passengers to beirut .	x
jordan	amman	/location/location/contains	joost hiltermann , director of the international crisis group 's office in amman , jordan , agreed . ''	
vermont	stowe	/location/location/contains	spruce peak at stowe , the vermont ski destination 's new base-area development , is the first mountain resort in the country to have earned the audubon green community award from audubon international .	
bill_elliott	dawsonville	/people/person/place_of_birth	and they would never understand why , for bill_elliott , there was no joy in dawsonville .	x
virginia	chesapeake	/location/location/contains	for purposes of study , the south is divided into three colonial regions : the chesapeake , encompassing maryland , eastern virginia and northeastern north carolina , which grew very rich from tobacco before the american revolution ; the low country , which includes the coastal areas of southeastern north carolina , south carolina and georgia , which prospered from trade in rice , indigo and cotton ; and the rural back country , including parts of virginia , the piedmont of north carolina , south carolina , georgia , tennessee and kentucky -- but not mississippi and alabama .	x
catalonia	spain	/location/administrative_division/country	the educational system , politics , health care , child rearing and the national character are dealt with in well-organized chapters that move the reader briskly along from the basque country to catalonia , from flamenco bars to neon-lighted roadside whorehouses , from the ghastly tourist traps of the costa del sol to the galician clothing factories of amancio ortega , spain 's richest and most reclusive tycoon .	x
damballa	david_dagon	/business/company/founders	david_dagon , a georgia institute of technology researcher who is a co-founder of damballa , a start-up company focusing on controlling botnets , said the consensus among scientists is that botnet programs are present on about 11 percent of the more than 650 million computers attached to the internet .	
jacques_chirac	france	/people/person/nationality	tony blair of britain and jacques_chirac of france are in the waning months of their lengthy tenures . ''	
france	paris	/location/country/capital	lipton wonders again , this time looking for answers in her vexed relationship with her father , an alluring '' dreamer and fantasist '' who , without ever having traveled to france himself , urged his young daughter : '' darling , go to paris .	x
cy_coleman	new_york_city	/people/person/place_lived	` opening doors : a journey in musical theater ' -lrb- tomorrow and sunday -rrb- take the songs of stephen sondheim , cy_coleman and other modern composers and combine them with the talents of selected new_york_city middle and high school students , and you have this cabaret show , presented by wingspan arts .	x
ontario	st._catharines	/location/location/contains	in ontario , canada , the niagara international music festival , organized by don harper , who puts together many choral events , will have its 13th season this year with performances in the communities of niagara falls , st._catharines and grimsby .	
canada	toronto	/location/location/contains	yun zhao , 31 , a bright woman who works in a large insurance company here , was drawn back here after studying in toronto and becoming a legal resident of canada , something that has long been close to an irresistible dream for many chinese . ''	
florida	boca_raton	/location/location/contains	earl rosenberg of boca_raton , florida , beloved husband of lois rosenberg ; devoted father of dr. ronald rosenberg and linda reinig -lrb- marc -rrb- .	
frank_church	idaho	/people/person/place_lived	records of the church committee -- a 1975 senate investigation headed by senator frank_church , democrat of idaho , into '' alleged assassination plots involving foreign leaders '' -- say , '' ambassador farland established contact with a group of dissidents regarded as moderate , pro-united states and desirous of establishing a democratic form of government . ''	
israel	west_bank	/location/location/contains	a3 palestinian revenue released israel transferred $ 100 million in palestinian tax revenue to the office of the palestinian authority president , mahmoud abbas , and also suspended the establishment of a settlement in the west_bank .	x
south_korea	seoul	/location/location/contains	this was so far below demand that , in april , a senior vice president of the testing service 's international division , paul ramsey , told reporters in seoul that an additional 70,000 slots would be created for south_korea in 2007 .	
nebraska	lincoln	/location/location/contains	nelnet , based in lincoln , neb. , with $ 23.8 billion in student loan assets , forged the agreement with the nebraska attorney general , jon bruning .	
